book_id,neighbor_id,similarity
19,54,0.4139
19,39,0.4134
19,13,0.4087
19,14,0.3863
19,62,0.3814
20,17,0.8955
20,1,0.6873
20,12,0.4755
20,25,0.4692
20,27,0.4647
20,24,0.4642
20,18,0.4634
20,21,0.4627
20,23,0.4614
20,69,0.4605
21,27,0.9014
21,24,0.8867
21,18,0.871
21,25,0.8649
21,23,0.8622
21,2,0.6574
21,17,0.4854
21,20,0.4627
21,1,0.45
21,26,0.435
22,38,0.4747
22,57,0.4685
22,31,0.4569
22,46,0.4563
22,11,0.4562
22,33,0.4502
22,64,0.4413
22,111,0.4321
22,16,0.4187
22,4,0.4163
23,18,0.906
23,24,0.8844
23,27,0.8635
23,21,0.8622
23,25,0.8335
23,2,0.6728
23,17,0.4842
23,20,0.4614
23,1,0.4377
23,26,0.4346
24,18,0.912
24,27,0.9005
24,21,0.8867
24,23,0.8844
24,25,0.8717
24,2,0.6692
24,17,0.4879
24,20,0.4642
24,1,0.4428
24,26,0.4402
25,27,0.9008
25,24,0.8717
25,21,0.8649
25,18,0.8599
25,23,0.8335
25,2,0.6509
25,17,0.4925
25,20,0.4692
25,1,0.4483
25,26,0.4353
26,9,0.5484
26,201,0.455
26,24,0.4402
26,18,0.4393
26,27,0.4369
26,25,0.4353
26,21,0.435
26,23,0.4346
26,2,0.4098
26,4,0.3739
27,21,0.9014
27,25,0.9008
27,24,0.9005
27,18,0.8822
27,23,0.8635
27,2,0.6521
27,17,0.4891
27,20,0.4647
27,1,0.4419
27,26,0.4369
28,14,0.5325
28,8,0.509
28,13,0.4994
28,4,0.4959
28,32,0.4943
28,5,0.4862
28,55,0.4319
28,58,0.428
28,7,0.4275
28,29,0.4263
29,125,0.4554
29,154,0.45
29,5,0.4495
29,4,0.4412
29,58,0.4325
29,10,0.4305
29,28,0.4263
29,32,0.4173
29,14,0.4121
29,42,0.411
30,61,0.4948
30,226,0.457
30,244,0.4313
30,31,0.4099
30,6,0.4018
30,16,0.3975
30,1,0.3902
30,235,0.37
30,146,0.3619
30,46,0.3609
31,46,0.5654
31,57,0.4937
31,1,0.459
31,22,0.4569
31,11,0.4568
31,16,0.4491
31,38,0.4343
31,64,0.426
31,33,0.4225
31,195,0.4224
32,4,0.4959
32,28,0.4943
32,8,0.4801
32,5,0.4794
32,14,0.4727
32,13,0.4401
32,131,0.4367
32,58,0.4202
32,29,0.4173
32,65,0.3763
33,11,0.4745
33,22,0.4502
33,57,0.43
33,31,0.4225
33,38,0.4191
33,46,0.4137
33,4,0.4092
33,118,0.4055
33,16,0.3941
33,100,0.3853
34,99,0.7333
34,96,0.7035
34,218,0.4799
34,334,0.4099
34,203,0.4004
34,3,0.3854
34,1,0.3253
34,904,0.3135
34,56,0.3059
34,676,0.3058
35,11,0.338
35,26,0.3218
35,4,0.3122
35,45,0.304
35,8,0.2949
35,33,0.2948
35,5,0.2947
35,9,0.2914
35,2,0.2913
35,13,0.2868
36,1,0.4187
36,2,0.3982
36,4,0.3645
36,77,0.3575
36,17,0.3419
36,117,0.3349
36,18,0.3309
36,24,0.3293
36,25,0.3289
36,20,0.3284
37,2,0.4668
37,7,0.4539
37,292,0.4433
37,19,0.4374
37,1,0.3962
37,59,0.3884
37,117,0.3859
37,4,0.383
37,347,0.374
37,332,0.3726
38,22,0.4747
38,46,0.4477
38,31,0.4343
38,11,0.4308
38,33,0.4191
38,64,0.4084
38,57,0.4064
38,111,0.3843
38,16,0.3795
38,1,0.3664
39,110,0.684
39,135,0.6409
39,165,0.5983
39,188,0.5459
39,19,0.4134
39,7,0.4036
39,2,0.3936
39,1,0.387
39,192,0.3354
39,70,0.3295
40,31,0.3902
40,57,0.3743
40,11,0.3674
40,46,0.3673
40,33,0.3659
40,38,0.3522
40,22,0.348
40,136,0.3264
40,81,0.3228
40,261,0.3162
41,159,0.644
41,151,0.6254
41,175,0.6127
41,214,0.5887
41,163,0.5502
41,294,0.4607
41,1,0.4034
41,370,0.4012
41,2,0.3994
41,53,0.3815
42,10,0.4805
42,43,0.4614
42,4,0.4394
42,15,0.439
42,76,0.4389
42,66,0.4135
42,29,0.411
42,133,0.4105
42,63,0.4105
42,93,0.4066
43,10,0.5792
43,63,0.5119
43,76,0.4982
43,42,0.4614
43,171,0.4329
43,4,0.4223
43,5,0.4205
43,230,0.391
43,29,0.3905
43,66,0.3664
44,107,0.4988
44,152,0.4251
44,169,0.3891
44,420,0.3845
44,3,0.3792
44,64,0.3482
44,571,0.3317
44,622,0.3313
44,686,0.3309
44,31,0.3276
45,11,0.4439
45,60,0.4055
45,4,0.3771
45,16,0.3664
45,33,0.3652
45,22,0.3557
45,38,0.3508
45,46,0.3506
45,5,0.3506
45,8,0.3439
46,31,0.5654
46,57,0.4762
46,11,0.4594
46,22,0.4563
46,38,0.4477
46,16,0.4174
46,33,0.4137
46,67,0.4092
46,1,0.4086
46,111,0.4067
47,31,0.3913
47,1,0.3909
47,6,0.3786
47,11,0.3632
47,30,0.3522
47,46,0.3424
47,4,0.3397
47,17,0.3376
47,67,0.3299
47,20,0.3242
48,13,0.4871
48,55,0.4463
48,14,0.4335
48,28,0.4079
48,65,0.4078
48,5,0.3874
48,8,0.3781
48,4,0.3766
48,7,0.3698
48,54,0.3629
49,52,0.9138
49,56,0.8674
49,3,0.6526
49,17,0.4355
49,20,0.4236
49,27,0.4184
49,21,0.4162
49,24,0.415
49,23,0.4149
49,25,0.4143
50,85,0.5101
50,278,0.4985
50,102,0.4504
50,59,0.3985
50,4,0.3625
50,2,0.351
50,29,0.3501
50,157,0.3493
50,339,0.3442
50,15,0.329
51,134,0.7428
51,153,0.7256
51,183,0.6007
51,309,0.5714
51,319,0.5254
51,351,0.4725
51,12,0.4412
51,460,0.4068
51,202,0.3984
51,210,0.3918
52,49,0.9138
52,56,0.8933
52,3,0.65
52,17,0.4459
52,20,0.4317
52,27,0.4214
52,21,0.4188
52,25,0.4186
52,24,0.4166
52,18,0.4155
53,345,0.5273
53,447,0.473
53,2,0.413
53,41,0.3815
53,648,0.3796
53,62,0.3767
53,19,0.3647
53,7,0.3597
53,1,0.3454
53,223,0.3403
54,7,0.417
54,19,0.4139
54,126,0.4061
54,13,0.4019
54,599,0.3853
54,70,0.3822
54,14,0.3641
54,48,0.3629
54,55,0.3563
54,2,0.3546
55,13,0.5483
55,14,0.4736
55,48,0.4463
55,28,0.4319
55,65,0.4308
55,8,0.4154
55,5,0.3972
55,32,0.3725
55,4,0.3707
55,7,0.3702
56,52,0.8933
56,49,0.8674
56,3,0.6242
56,17,0.4414
56,20,0.4274
56,27,0.4063
56,21,0.4049
56,25,0.404
56,24,0.4022
56,23,0.3996
57,31,0.4937
57,46,0.4762
57,22,0.4685
57,11,0.4681
57,111,0.4543
57,136,0.4369
57,33,0.43
57,100,0.418
57,150,0.4104
57,38,0.4064
58,116,0.4631
58,29,0.4325
58,28,0.428
58,32,0.4202
58,4,0.4106
58,5,0.407
58,8,0.4032
58,14,0.4025
58,13,0.3857
58,79,0.3664
59,102,0.468
59,157,0.4355
59,85,0.4307
59,50,0.3985
59,37,0.3884
59,158,0.3813
59,93,0.3771
59,364,0.3614
59,251,0.3523
59,15,0.3458
60,45,0.4055
60,11,0.3889
60,22,0.3611
60,4,0.3556
60,38,0.3441
60,16,0.3385
60,8,0.3361
60,57,0.3306
60,5,0.3292
60,115,0.3263
61,30,0.4948
61,143,0.474
61,262,0.468
61,267,0.4552
61,235,0.4478
61,112,0.4435
61,226,0.3969
61,318,0.38
61,146,0.3762
61,244,0.3629
62,368,0.5549
62,480,0.4877
62,2,0.4141
62,7,0.3841
62,19,0.3814
62,53,0.3767
62,37,0.3482
62,1,0.3361
62,39,0.3181
62,54,0.3179
63,43,0.5119
63,10,0.4628
63,76,0.4218
63,42,0.4105
63,171,0.3972
63,5,0.3848
63,4,0.3794
63,29,0.3696
63,230,0.3504
63,66,0.3483
64,22,0.4413
64,31,0.426
64,331,0.422
64,328,0.412
64,38,0.4084
64,46,0.4056
64,111,0.4053
64,57,0.3844
64,11,0.369
64,616,0.3562
65,297,0.4562
65,13,0.4437
65,55,0.4308
65,8,0.4283
65,113,0.4255
65,14,0.4183
65,48,0.4078
65,405,0.4063
65,5,0.3906
65,28,0.3854
66,42,0.4135
66,311,0.3943
66,10,0.371
66,43,0.3664
66,4,0.3663
66,15,0.3577
66,33,0.3569
66,63,0.3483
66,76,0.3348
66,31,0.3248
67,11,0.6073
67,46,0.4092
67,31,0.4074
67,57,0.3806
67,33,0.3804
67,22,0.3559
67,16,0.3511
67,111,0.3484
67,81,0.3467
67,38,0.341
68,6,0.3898
68,74,0.3853
68,88,0.3289
68,1,0.3064
68,17,0.2912
68,12,0.2898
68,2,0.2827
68,20,0.2813
68,275,0.2799
68,147,0.2724
69,105,0.7502
69,12,0.733
69,20,0.4605
69,17,0.4574
69,6,0.4132
69,91,0.403
69,1,0.3855
69,153,0.3555
69,51,0.3524
69,259,0.347
70,492,0.4592
70,126,0.4012
70,760,0.3875
70,54,0.3822
70,838,0.3738
70,7,0.3678
70,19,0.3391
70,13,0.3356
70,2,0.3327
70,39,0.3295
71,97,0.4177
71,29,0.3775
71,13,0.3597
71,28,0.3588
71,14,0.3546
71,79,0.3477
71,58,0.3421
71,5,0.3386
71,32,0.3325
71,48,0.325
72,176,0.5522
72,168,0.5099
72,237,0.5056
72,243,0.4971
72,305,0.4743
72,349,0.4616
72,556,0.4214
72,553,0.4135
72,578,0.4058
72,670,0.4052
73,3,0.4424
73,56,0.3903
73,52,0.3877
73,49,0.3806
73,1,0.3644
73,51,0.3531
73,12,0.333
73,134,0.3161
73,17,0.3128
73,20,0.3032
74,88,0.5639
74,275,0.4992
74,6,0.4716
74,68,0.3853
74,382,0.3852
74,164,0.3384
74,147,0.327
74,12,0.3147
74,149,0.3066
74,69,0.2848
75,78,0.4396
75,228,0.3853
75,136,0.3849
75,108,0.3532
75,33,0.3418
75,1457,0.3318
75,22,0.3231
75,38,0.3144
75,10,0.3073
75,31,0.3072
76,171,0.6002
76,10,0.566
76,230,0.5197
76,43,0.4982
76,42,0.4389
76,471,0.4265
76,63,0.4218
76,451,0.3994
76,29,0.3583
76,66,0.3348
77,36,0.3575
77,263,0.329
77,594,0.3171
77,2,0.3102
77,245,0.2989
77,1,0.2983
77,707,0.2879
77,90,0.2852
77,37,0.2845
77,59,0.2801
78,228,0.4603
78,75,0.4396
78,108,0.4296
78,136,0.3344
78,156,0.3251
78,465,0.3234
78,310,0.3146
78,44,0.3048
78,33,0.3021
78,22,0.2955
79,341,0.463
79,29,0.4063
79,58,0.3664
79,71,0.3477
79,125,0.3372
79,28,0.3282
79,14,0.3277
79,13,0.321
79,32,0.3197
79,83,0.3191
80,8,0.2913
80,13,0.2883
80,14,0.2866
80,5,0.2734
80,28,0.266
80,2,0.2649
80,29,0.2638
80,4,0.2629
80,213,0.259
80,10,0.259
81,31,0.4067
81,46,0.4003
81,11,0.3773
81,57,0.3764
81,754,0.3471
81,67,0.3467
81,111,0.3407
81,150,0.337
81,22,0.33
81,40,0.3228
82,236,0.4518
82,688,0.2919
82,11,0.2654
82,4,0.2586
82,1048,0.2559
82,8,0.2558
82,15,0.2555
82,5,0.2535
82,28,0.2416
82,316,0.2412
83,160,0.3943
83,58,0.3544
83,29,0.3412
83,42,0.3283
83,10,0.3282
83,4,0.3268
83,43,0.3253
83,32,0.3238
83,103,0.3238
83,79,0.3191
84,487,0.4337
84,660,0.4287
84,693,0.4093
84,575,0.3882
84,1117,0.3602
84,288,0.3549
84,640,0.3546
84,19,0.3162
84,54,0.3061
84,72,0.3044
85,50,0.5101
85,102,0.4818
85,59,0.4307
85,157,0.4192
85,278,0.3998
85,358,0.3691
85,339,0.3519
85,251,0.3433
85,608,0.3097
85,391,0.3078
86,123,0.6115
86,227,0.5711
86,281,0.5551
86,343,0.5039
86,596,0.4432
86,833,0.4025
86,266,0.4006
86,242,0.3463
86,963,0.3356
86,1037,0.3325
87,15,0.3485
87,4,0.3221
87,5,0.3007
87,8,0.284
87,32,0.2824
87,36,0.2788
87,28,0.2762
87,11,0.2756
87,1,0.2622
87,29,0.258
88,74,0.5639
88,275,0.5317
88,6,0.4506
88,382,0.4094
88,164,0.3583
88,149,0.3405
88,68,0.3289
88,324,0.3214
88,12,0.3102
88,147,0.3035
89,19,0.3213
89,7,0.3169
89,2,0.3099
89,37,0.2959
89,54,0.2948
89,62,0.275
89,1,0.2723
89,10,0.2632
89,4,0.2589
89,117,0.2585
90,59,0.3088
90,36,0.2952
90,4,0.2918
90,77,0.2852
90,1,0.2726
90,2,0.2668
90,28,0.2572
90,37,0.2554
90,321,0.2526
90,32,0.252
91,259,0.6978
91,376,0.6357
91,12,0.4105
91,69,0.403
91,946,0.3704
91,105,0.361
91,17,0.3269
91,20,0.3218
91,166,0.3068
91,327,0.3061
92,127,0.4095
92,211,0.3598
92,1069,0.3519
92,193,0.3425
92,969,0.2518
92,13,0.2409
92,408,0.2328
92,14,0.2288
92,8,0.2277
92,5,0.2219
93,42,0.4066
93,133,0.4034
93,59,0.3771
93,37,0.3616
93,15,0.3358
93,540,0.3332
93,4,0.3318
93,10,0.3274
93,43,0.3248
93,497,0.3141
94,233,0.447
94,121,0.312
94,8,0.3088
94,13,0.304
94,323,0.3001
94,14,0.2968
94,5,0.2966
94,65,0.2783
94,4,0.2705
94,162,0.2677
95,13,0.3222
95,71,0.3139
95,14,0.3077
95,5,0.3066
95,63,0.3029
95,8,0.2978
95,97,0.292
95,55,0.2888
95,427,0.287
95,177,0.2854
96,99,0.887
96,34,0.7035
96,218,0.4793
96,334,0.4407
96,203,0.3865
96,676,0.3713
96,904,0.3492
96,965,0.3306
96,861,0.3236
96,56,0.2964
97,71,0.4177
97,7,0.308
97,205,0.3049
97,19,0.2954
97,95,0.292
97,13,0.2894
97,28,0.2819
97,14,0.2779
97,29,0.2723
97,63,0.268
98,140,0.8431
98,16,0.6131
98,26,0.3421
98,17,0.3394
98,20,0.3336
98,30,0.3177
98,1,0.3165
98,31,0.3104
98,46,0.2788
98,11,0.2759
99,96,0.887
99,34,0.7333
99,218,0.4611
99,334,0.4226
99,203,0.3753
99,676,0.3725
99,904,0.3371
99,965,0.3227
99,861,0.3133
99,56,0.3065
100,57,0.418
100,11,0.4086
100,150,0.3933
100,33,0.3853
100,118,0.3802
100,115,0.3569
100,22,0.3522
100,46,0.3519
100,31,0.3507
100,45,0.3418
101,344,0.5584
101,372,0.5558
101,534,0.4402
101,943,0.3652
101,238,0.3322
101,115,0.3053
101,8,0.2991
101,495,0.2962
101,1923,0.2917
101,4,0.2875
102,157,0.4979
102,85,0.4818
102,59,0.468
102,50,0.4504
102,339,0.4231
102,251,0.4181
102,296,0.392
102,391,0.383
102,358,0.373
102,364,0.3389
103,413,0.3462
103,83,0.3238
103,109,0.3153
103,58,0.3045
103,79,0.3036
103,29,0.2918
103,10,0.2857
103,71,0.2831
103,7,0.2813
103,19,0.2787
104,815,0.307
104,65,0.3054
104,13,0.3013
104,28,0.2936
104,8,0.2847
104,45,0.2829
104,5,0.2793
104,14,0.2785
104,4,0.2781
104,55,0.2771
105,69,0.7502
105,12,0.5928
105,20,0.3802
105,17,0.3744
105,6,0.3647
105,91,0.361
105,259,0.3289
105,376,0.326
105,1,0.3105
105,319,0.3065
106,290,0.4055
106,352,0.3329
106,30,0.3003
106,31,0.2784
106,1,0.2776
106,101,0.2637
106,190,0.2436
106,16,0.2412
106,46,0.2384
106,17,0.2379
107,152,0.5194
107,44,0.4988
107,169,0.4566
107,420,0.4532
107,622,0.3933
107,552,0.3868
107,286,0.3836
107,571,0.3811
107,683,0.3791
107,686,0.3648
108,308,0.4738
108,955,0.473
108,411,0.4666
108,952,0.4542
108,1063,0.4528
108,78,0.4296
108,509,0.4239
108,1436,0.4059
108,761,0.3717
108,228,0.3615
109,103,0.3153
109,83,0.3104
109,29,0.2897
109,42,0.2894
109,10,0.2845
109,58,0.2778
109,43,0.2769
109,66,0.2699
109,4,0.2691
109,15,0.2688
110,135,0.8578
110,165,0.8199
110,188,0.7269
110,39,0.684
110,25,0.2938
110,24,0.2933
110,27,0.2932
110,192,0.2926
110,18,0.2921
110,155,0.2903
111,57,0.4543
111,22,0.4321
111,46,0.4067
111,64,0.4053
111,31,0.3938
111,11,0.3847
111,38,0.3843
111,33,0.3549
111,136,0.3544
111,67,0.3484
112,566,0.4876
112,61,0.4435
112,235,0.4213
112,262,0.4048
112,940,0.3761
112,267,0.3733
112,318,0.3702
112,143,0.3598
112,30,0.358
112,6,0.3573
113,65,0.4255
113,13,0.3954
113,8,0.3934
113,14,0.3784
113,129,0.3719
113,55,0.3676
113,5,0.3499
113,28,0.3485
113,173,0.3473
113,4,0.3279
114,132,0.4358
114,11,0.2794
114,31,0.278
114,40,0.2715
114,784,0.2711
114,4,0.2627
114,15,0.2627
114,57,0.2605
114,26,0.2574
114,46,0.2549
115,100,0.3569
115,11,0.354
115,33,0.3355
115,22,0.3304
115,60,0.3263
115,57,0.3257
115,45,0.3237
115,46,0.3222
115,38,0.3102
115,101,0.3053
116,58,0.4631
116,293,0.3541
116,4,0.3466
116,29,0.3212
116,32,0.319
116,14,0.319
116,138,0.314
116,5,0.3106
116,204,0.3097
116,361,0.3077
117,37,0.3859
117,36,0.3349
117,2,0.3342
117,1196,0.3301
117,59,0.3271
117,4,0.3083
117,1530,0.3081
117,7,0.3078
117,50,0.3065
117,85,0.2951
118,33,0.4055
118,136,0.4038
118,57,0.3966
118,272,0.3902
118,100,0.3802
118,11,0.3555
118,22,0.3384
118,31,0.3289
118,198,0.328
118,42,0.3222
119,13,0.3059
119,572,0.3056
119,4,0.2969
119,55,0.2924
119,33,0.291
119,5,0.2866
119,8,0.2821
119,60,0.2815
119,28,0.2814
119,100,0.2807
120,1718,0.388
120,2054,0.3615
120,2270,0.3377
120,500,0.2741
120,77,0.2708
120,3,0.2697
120,1,0.2637
120,2,0.2521
120,44,0.2515
120,31,0.2405
121,8,0.3172
121,5,0.3139
121,94,0.312
121,13,0.3093
121,65,0.3078
121,14,0.2946
121,55,0.2874
121,162,0.2846
121,28,0.2808
121,323,0.2766
122,2,0.3131
122,2028,0.3008
122,1,0.292
122,22,0.2784
122,33,0.2767
122,4,0.2718
122,37,0.2691
122,1884,0.2674
122,46,0.2668
122,7,0.2599
123,227,0.6321
123,281,0.6142
123,86,0.6115
123,343,0.5464
123,596,0.473
123,833,0.4191
123,963,0.3659
123,966,0.3613
123,1037,0.3491
123,628,0.3455
124,31,0.3572
124,30,0.3569
124,46,0.3123
124,22,0.3073
124,61,0.2937
124,16,0.2875
124,11,0.2825
124,81,0.2811
124,231,0.2794
124,47,0.2794
125,154,0.5629
125,29,0.4554
125,248,0.4439
125,353,0.4215
125,714,0.379
125,530,0.3378
125,79,0.3372
125,138,0.3238
125,804,0.3234
125,58,0.3228
126,54,0.4061
126,1105,0.4035
126,70,0.4012
126,276,0.3942
126,1262,0.3741
126,19,0.349
126,371,0.3417
126,7,0.3361
126,13,0.3286
126,400,0.3238
127,211,0.569
127,193,0.5251
127,92,0.4095
127,1344,0.3116
127,969,0.248
127,247,0.2461
127,1069,0.2413
127,932,0.2266
127,892,0.2254
127,1926,0.2128
128,193,0.1831
128,127,0.1747
128,3152,0.1743
128,1035,0.1673
128,92,0.1663
128,985,0.1618
128,2707,0.1571
128,211,0.1541
128,2166,0.1503
128,1415,0.1475
129,8,0.3743
129,113,0.3719
129,173,0.3653
129,28,0.3456
129,4,0.3417
129,14,0.3394
129,13,0.3392
129,5,0.3384
129,32,0.33
129,65,0.3258
130,401,0.3587
130,264,0.3412
130,395,0.3198
130,32,0.3158
130,14,0.3153
130,13,0.313
130,8,0.3111
130,5,0.306
130,131,0.2963
130,58,0.2934
131,32,0.4367
131,225,0.3907
131,28,0.3799
131,8,0.3611
131,5,0.3529
131,4,0.3527
131,14,0.3404
131,13,0.3354
131,58,0.327
131,138,0.315
132,114,0.4358
132,784,0.3309
132,22,0.2874
132,31,0.2809
132,11,0.2805
132,64,0.277
132,46,0.2656
132,57,0.2653
132,111,0.2574
132,44,0.2555
133,42,0.4105
133,93,0.4034
133,1210,0.3552
133,1112,0.3364
133,10,0.3345
133,59,0.3247
133,37,0.3239
133,43,0.323
133,4,0.3188
133,15,0.3043
134,153,0.8275
134,51,0.7428
134,309,0.7138
134,319,0.6467
134,183,0.6121
134,351,0.5449
134,607,0.4849
134,460,0.4742
134,12,0.3757
134,202,0.3695
135,110,0.8578
135,165,0.8554
135,188,0.7668
135,39,0.6409
135,192,0.2972
135,7,0.2852
135,155,0.2834
135,161,0.2818
135,24,0.2802
135,27,0.2802
136,57,0.4369
136,118,0.4038
136,75,0.3849
136,31,0.3796
136,409,0.3684
136,33,0.3599
136,22,0.3556
136,111,0.3544
136,261,0.3516
136,228,0.3499
137,463,0.6166
137,554,0.5677
137,712,0.5214
137,864,0.4756
137,1026,0.4436
137,1275,0.3926
137,1723,0.2837
137,1,0.2523
137,31,0.2505
137,142,0.2494
138,29,0.3573
138,58,0.3432
138,5,0.3423
138,4,0.3291
138,63,0.327
138,42,0.3247
138,125,0.3238
138,32,0.3216
138,160,0.3183
138,154,0.317
139,884,0.444
139,1948,0.3047
139,6,0.2684
139,12,0.2654
139,1,0.2472
139,69,0.2374
139,185,0.2355
139,30,0.231
139,47,0.2306
139,17,0.2273
140,98,0.8431
140,16,0.5591
140,17,0.3211
140,26,0.3189
140,20,0.3179
140,30,0.3027
140,1,0.2917
140,31,0.285
140,46,0.2507
140,11,0.2482
141,215,0.3513
141,61,0.3019
141,458,0.2744
141,143,0.2636
141,30,0.2409
141,1730,0.2255
141,742,0.2191
141,39,0.2168
141,858,0.2148
141,70,0.2119
142,642,0.4757
142,440,0.4106
142,11,0.3128
142,16,0.312
142,33,0.3034
142,31,0.2986
142,150,0.2927
142,46,0.2923
142,67,0.2799
142,100,0.2648
143,267,0.4829
143,61,0.474
143,146,0.4275
143,318,0.4008
143,437,0.3907
143,313,0.3706
143,262,0.3663
143,112,0.3598
143,459,0.3547
143,235,0.3514
144,143,0.3208
144,31,0.308
144,291,0.2953
144,30,0.2925
144,208,0.2898
144,81,0.2885
144,318,0.283
144,267,0.2767
144,61,0.2765
144,313,0.2747
145,170,0.7103
145,9,0.4656
145,201,0.387
145,26,0.3465
145,240,0.2864
145,123,0.2578
145,227,0.2509
145,281,0.2401
145,16,0.2379
145,343,0.2329
146,143,0.4275
146,61,0.3762
146,30,0.3619
146,235,0.3154
146,551,0.3139
146,320,0.3087
146,437,0.3067
146,267,0.305
146,494,0.2989
146,1009,0.2926
147,74,0.327
147,149,0.316
147,88,0.3035
147,6,0.3001
147,234,0.2743
147,68,0.2724
147,435,0.2703
147,12,0.2563
147,443,0.2502
147,275,0.2476
148,33,0.3764
148,150,0.3419
148,57,0.3232
148,186,0.3181
148,11,0.3132
148,31,0.3099
148,46,0.3084
148,100,0.2972
148,136,0.2955
148,22,0.2906
149,475,0.6341
149,6,0.359
149,88,0.3405
149,147,0.316
149,12,0.3091
149,74,0.3066
149,164,0.2924
149,69,0.2906
149,435,0.2902
149,105,0.2823
150,57,0.4104
150,100,0.3933
150,33,0.3837
150,31,0.3803
150,46,0.3778
150,11,0.3757
150,273,0.3573
150,136,0.3493
150,148,0.3419
150,81,0.337
151,214,0.8657
151,175,0.7818
151,159,0.7562
151,41,0.6254
151,163,0.5565
151,294,0.5381
151,428,0.5304
151,684,0.4466
151,370,0.4342
151,909,0.3998
152,169,0.5888
152,107,0.5194
152,286,0.5018
152,420,0.4494
152,552,0.4465
152,571,0.4381
152,622,0.4349
152,44,0.4251
152,683,0.4228
152,302,0.4124
153,134,0.8275
153,51,0.7256
153,309,0.7241
153,319,0.6651
153,183,0.5761
153,351,0.518
153,607,0.484
153,460,0.4813
153,12,0.3604
153,384,0.3582
154,125,0.5629
154,248,0.4857
154,29,0.45
154,353,0.4477
154,714,0.4042
154,530,0.3522
154,804,0.352
154,770,0.348
154,773,0.337
154,855,0.3289
155,161,0.8934
155,19,0.5636
155,7,0.4367
155,189,0.4248
155,611,0.3641
155,18,0.3605
155,23,0.3591
155,24,0.3514
155,27,0.3489
155,25,0.345
156,455,0.624
156,647,0.519
156,694,0.4908
156,1072,0.3765
156,108,0.3486
156,78,0.3251
156,310,0.315
156,44,0.2867
156,228,0.284
156,411,0.2817
157,251,0.6199
157,102,0.4979
157,358,0.4764
157,364,0.4604
157,59,0.4355
157,85,0.4192
