book_id,title,authors,average_rating,v,weighted
28,Lord of the Flies,William Golding,3.64,13556,3.68387025783559
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,11578,3.7322070558415
30,Gone Girl,Gillian Flynn,4.03,12105,3.9080500463326087
31,The Help,Kathryn Stockett,4.45,12727,4.343590580525523
32,Of Mice and Men,John Steinbeck,3.84,11921,3.8516496287042203
33,Memoirs of a Geisha,Arthur Golden,4.08,11304,3.993625375915559
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,7724,3.2021177723731915
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,8916,3.639315123415767
36,"The Giver (The Giver, #1)",Lois Lowry,4.12,10949,4.052964085358809
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,13089,4.082654179289986
38,The Time Traveler's Wife,Audrey Niffenegger,3.95,9977,3.8697191328137284
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,10692,4.298123976023399
40,"Eat, Pray, Love",Elizabeth Gilbert,3.51,7885,3.3460136212306937
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,7606,3.982634018932043
42,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,10649,3.9901445800294697
43,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,10308,4.022145772702889
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,6717,3.755792141686729
45,Life of Pi,Yann Martel,3.88,10175,3.842224976930826
46,Water for Elephants,Sara Gruen,4.07,10361,3.957060060872051
47,The Book Thief,Markus Zusak,4.36,10394,4.267525230946373
48,Fahrenheit 451,Ray Bradbury,3.97,10312,3.930250452959165
49,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,9712,3.2934841383860713
50,Where the Sidewalk Ends,Shel Silverstein,4.29,8297,4.262355025222648
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,6504,3.8565148784590146
52,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,9620,3.436813540414859
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,7040,3.655537788224591
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,9960,4.0898016463239415
55,Brave New World,Aldous Huxley,3.97,9612,3.89533438475048
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,9433,3.4177510558019284
57,The Secret Life of Bees,Sue Monk Kidd,4.01,8383,3.925069513718341
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,9323,3.8368529205623574
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,9391,4.089054069087303
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,9035,3.804256094343055
61,The Girl on the Train,Paula Hawkins,3.88,9090,3.7299414116961147
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,8192,3.8902529027605395
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,9584,3.7502315320589914
64,My Sister's Keeper,Jodi Picoult,4.06,7192,3.8502702101623933
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,8179,4.017139880177215
66,Gone with the Wind,Margaret Mitchell,4.28,7714,4.176901755117615
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,7662,4.177942083003586
68,The Perks of Being a Wallflower,Stephen Chbosky,4.21,5990,3.9702128614622274
69,"Insurgent (Divergent, #2)",Veronica Roth,4.07,8263,3.8662985694135106
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,8849,4.218401810748766
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,7727,3.7400353957476007
72,The Shining (The Shining #1),Stephen King,4.17,6861,4.090335801492619
73,"The Host (The Host, #1)",Stephenie Meyer,3.84,6313,3.6661574046872016
74,Looking for Alaska,John Green,4.09,4682,3.876229002361293
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,6229,3.681807631023526
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,7110,3.9766494916399417
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,6039,3.916947249808514
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,4723,3.557436904873987
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,6301,3.7486288854266783
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,6848,4.125981500509773
81,The Glass Castle,Jeannette Walls,4.24,5847,4.102516938303845
82,Into the Wild,Jon Krakauer,3.94,4921,3.8305963123502544
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,6592,3.803329423792521
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,6601,3.91613448659512
85,The Giving Tree,Shel Silverstein,4.38,7002,4.278090180089047
86,A Time to Kill,John Grisham,4.03,5844,3.9404093333915986
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,6466,4.213883483585866
88,Paper Towns,John Green,3.88,4247,3.7588888177441095
89,The Princess Bride ,William Goldman,4.25,6102,4.226359430474247
90,The Outsiders,S.E. Hinton,4.06,6190,3.946056100910764
91,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,5014,3.7832551346467893
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,4658,3.8947325900591965
93,The Secret Garden,Frances Hodgson Burnett,4.12,7626,4.058074024339689
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,5492,3.9374154760041677
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,6406,3.92689681142884
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,4185,3.5492176170097864
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,6615,3.8672812182395297
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,7563,4.076449084503861
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,4452,3.5475058644856645
100,The Poisonwood Bible,Barbara Kingsolver,4.02,6343,3.974534749450721
101,Me Talk Pretty One Day,David Sedaris,3.97,5199,3.9671464393495537
102,Where the Wild Things Are,Maurice Sendak,4.22,6401,4.210573025805944
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,5489,4.148803814574634
104,The Road,Cormac McCarthy,3.95,6779,3.872528649572526
105,"Allegiant (Divergent, #3)",Veronica Roth,3.63,6300,3.4626441827924825
106,Bossypants,Tina Fey,3.94,5346,3.8895878645699105
107,A Walk to Remember,Nicholas Sparks,4.15,3760,3.8620361679538915
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,3792,3.516002107785654
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,4750,4.080167492461192
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,6854,4.2437570517086245
111,The Memory Keeper's Daughter,Kim Edwards,3.64,5257,3.6093730726457687
112,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,5897,4.124117570336513
113,Catch-22,Joseph Heller,3.98,6944,3.9126592174762878
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,5467,3.8252549577336072
115,Middlesex,Jeffrey Eugenides,3.98,5615,3.959886580510442
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,7214,3.86352849916522
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,8109,4.0248045902858784
118,The Joy Luck Club,Amy Tan,3.9,6212,3.8871010755167688
119,The Handmaid's Tale,Margaret Atwood,4.06,7543,3.954537535169329
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,4180,3.6607311681328674
121,Lolita,"Vladimir Nabokov, Craig Raine",3.88,5274,3.847918020628512
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,6598,3.4544331384161846
123,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,6135,3.843809178098316
124,Room,Emma Donoghue,4.03,5554,3.9351702894944696
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,6899,3.9908924387685327
126,Dune (Dune Chronicles #1),Frank Herbert,4.19,5864,4.096307266945276
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,3709,3.857324623267668
128,Steve Jobs,Walter Isaacson,4.09,1731,4.020065702793462
129,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,6307,4.103965018169783
130,The Old Man and the Sea,Ernest Hemingway,3.73,6273,3.649607191518201
131,The Grapes of Wrath,John Steinbeck,3.92,7458,3.889841436456549
132,The Five People You Meet in Heaven,Mitch Albom,3.9,5495,3.712285182769704
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,6536,4.148311662395527
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,4451,4.083003441575233
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,6237,4.340881086182655
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,5326,3.7390863133490013
137,"Outlander (Outlander, #1)",Diana Gabaldon,4.2,5297,4.035418659092926
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,7667,3.4072109322101216
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,4868,3.6991579915914565
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",4.2,6702,4.053210012374892
141,The Martian,Andy Weir,4.39,5408,4.236846725337736
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,5672,4.130965848042644
143,All the Light We Cannot See,Anthony Doerr,4.31,6082,4.21761938787197
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,4577,4.332867365004882
145,Deception Point,Dan Brown,3.67,4405,3.525973050783773
146,The Goldfinch,Donna Tartt,3.87,5275,3.877219847341349
147,Thirteen Reasons Why,Jay Asher,4.02,3186,3.8704663629486307
148,Girl with a Pearl Earring,Tracy Chevalier,3.85,5171,3.8015236692555234
149,"If I Stay (If I Stay, #1)",Gayle Forman,3.96,3512,3.8016787674578794
150,The Red Tent,Anita Diamant,4.16,5358,4.020711389893796
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.23,4056,4.011920111632757
152,Dear John,Nicholas Sparks,4.01,2746,3.7497433411972105
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.21,4415,3.9938193270320816
154,Macbeth,William Shakespeare,3.88,6421,3.9017822320580176
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.42,6478,4.268521379489261
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.83,2877,3.681664476509651
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",4.29,5249,4.186865954387353
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,6034,4.02583996791686
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,4021,4.129470955442409
160,Great Expectations,Charles Dickens,3.75,6305,3.7145628472529633
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.51,6331,4.345401898545207
162,The Stranger,"Albert Camus, Matthew    Ward",3.96,4841,3.8436246791461324
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,3128,4.121954664378666
164,Eleanor & Park,Rainbow Rowell,4.11,3756,4.019734878460103
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,5705,3.96142757476691
166,"Matched (Matched, #1)",Ally Condie,3.68,3538,3.613720467232395
167,"American Gods (American Gods, #1)",Neil Gaiman,4.11,5681,3.9752841707172992
168,The Stand,"Stephen King, Bernie Wrightson",4.34,5973,4.200525251358479
169,The Last Song,Nicholas Sparks,4.14,2471,3.8933030100354964
170,Digital Fortress,Dan Brown,3.6,4041,3.464964143133436
171,Emma,"Jane Austen, Fiona Stafford",3.99,5602,3.92176950010212
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,5073,3.931303036883343
173,A Clockwork Orange,Anthony Burgess,3.98,5076,3.85157637589991
174,The Shack,William Paul Young,3.74,3559,3.5124632921618395
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.5,3881,4.216825179408967
176,It,Stephen King,4.18,4853,3.9811740308856853
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",4.18,4679,4.023111511706622
178,The Bell Jar,Sylvia Plath,3.98,5178,3.855530138644387
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,5302,3.9500821129140284
180,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,4610,3.864327803489043
181,In Cold Blood,Truman Capote,4.05,4467,4.033364135169481
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",3.76,3067,3.5989021921085413
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,3366,4.091374806005456
184,Matilda,"Roald Dahl, Quentin Blake",4.29,4810,4.162498920011119
185,The Night Circus,Erin Morgenstern,4.03,5154,3.930129182473613
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.04,4759,3.8978696614992687
187,"Uglies (Uglies, #1)",Scott Westerfeld,3.86,3600,3.7798082297225295
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,5086,4.135234074420728
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.47,5316,4.294539550289027
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.96,3998,3.856210972817837
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,3825,4.197873709975947
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.55,3948,4.366284593440829
193,Outliers: The Story of Success,Malcolm Gladwell,4.11,3428,3.9977035524038382
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,4034,3.5459442840923243
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,4904,4.029817280630904
196,Fight Club,Chuck Palahniuk,4.2,3917,4.040299233033686
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,4409,3.838337051248387
198,The Color Purple,Alice Walker,4.17,5531,4.07769244118764
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,3412,3.9458696689115706
200,And Then There Were None,Agatha Christie,4.23,4011,4.090038580036331
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.66,4213,3.51447486335687
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,4.0,2601,3.775055478418165
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.15,2487,3.9624839201981317
204,A Christmas Carol,Charles Dickens,4.02,5006,3.960787107082199
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.97,5764,3.8767935257034702
206,"The Selection (The Selection, #1)",Kiera Cass,4.15,2903,3.900917708848874
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,3365,3.877547638339077
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.04,3777,3.9899980393646963
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,4.14,3480,4.108022505105381
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.14,3125,3.9657206885797986
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.89,3371,3.8170670534885867
212,Atonement,Ian McEwan,3.88,5052,3.8039916692942586
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",3.78,4463,3.7271839669240707
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.33,3717,4.079720923885121
215,Ready Player One,Ernest Cline,4.31,4239,4.169840621582605
216,The Art of Racing in the Rain,Garth Stein,4.19,3889,4.026713211004006
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",3.98,4606,3.9079579836065546
218,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,2048,3.9022449216437773
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",4.24,5306,4.0987338360147705
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.23,1818,4.00247382868379
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,4.08,2834,3.857862461834593
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,3.98,3091,3.9780903426457064
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.82,3851,3.7357377378694587
224,"Fallen (Fallen, #1)",Lauren Kate,3.74,2541,3.6271241986785823
225,East of Eden,John Steinbeck,4.35,4576,4.194294473975055
226,Dark Places,Gillian Flynn,3.92,3950,3.8121780949540196
227,The Client,John Grisham,3.97,4260,3.830784567127292
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",3.4,3331,3.417555312336268
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",4.06,4722,3.972793195964727
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,4274,4.015843881074127
231,Sarah's Key,Tatiana de Rosnay,4.14,3995,3.997568697571659
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.99,4229,3.8924846617016264
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",3.89,4459,3.8046596706227023
234,Speak,Laurie Halse Anderson,4.0,2854,3.930202830861019
235,The Husband's Secret,Liane Moriarty,3.92,4003,3.824709602095693
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.11,3479,4.047092327290067
237,Carrie,Stephen King,3.93,4118,3.800769545050791
238,Running with Scissors,Augusten Burroughs,3.7,3724,3.604921656616155
239,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,3720,3.9341708223052887
240,"Inferno (Robert Langdon, #4)",Dan Brown,3.8,3608,3.6402517136651023
241,Number the Stars,Lois Lowry,4.11,3646,4.015626314266126
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.08,2985,3.8987869494496454
243,Misery,Stephen King,4.11,4199,3.915122279951408
244,Sharp Objects,Gillian Flynn,3.92,3549,3.7852572855480955
245,Bridge to Terabithia,Katherine Paterson,3.98,4295,3.9246465546257934
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",3.79,2583,3.6708785588559527
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.05,2073,3.824614170393941
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,4898,3.9225798793318214
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.97,3519,3.86623907402009
250,Wonder,R.J. Palacio,4.43,2648,4.284308251846149
251,The Cat in the Hat,Dr. Seuss,4.15,3871,4.031361685218183
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.15,2734,4.001894918770305
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",3.83,3413,3.827012666392922
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.78,2411,3.662633943291457
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",3.68,4227,3.5826784680973143
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",3.64,3284,3.6495345923308484
257,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",4.03,3298,3.958559560668693
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",4.24,3531,4.0593078939024485
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,3.93,3031,3.7738031677967863
260,How to Win Friends and Influence People,Dale Carnegie,4.13,1767,3.9048000816145647
261,Under the Tuscan Sun,Frances Mayes,3.72,2545,3.730335081884038
262,Big Little Lies,Liane Moriarty,4.2,3705,4.039591689464845
263,Ella Enchanted,Gail Carson Levine,3.97,3177,3.919082294205725
264,The Sun Also Rises,Ernest Hemingway,3.83,4161,3.7686737836374307
265,A Tree Grows in Brooklyn,Betty  Smith,4.24,4460,4.133932110090351
266,"Kiss the Girls (Alex Cross, #2)",James Patterson,3.93,2644,3.8745959471125717
267,The Nightingale,Kristin Hannah,4.54,3666,4.333949049902525
268,Never Let Me Go,Kazuo Ishiguro,3.8,3837,3.7441686326395884
269,P.S. I Love You,Cecelia Ahern,4.01,1782,3.8556585357805107
270,Rebecca,"Daphne du Maurier, Sally Beauman",4.2,4220,4.093590593215675
271,Flowers for Algernon,Daniel Keyes,4.07,4810,3.9688525250058606
272,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",3.94,3314,3.929781563434263
273,Snow Flower and the Secret Fan,Lisa See,4.05,3346,3.9446385083937447
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",4.36,2772,4.162795658361614
275,An Abundance of Katherines,John Green,3.63,2357,3.7024332910815048
276,Foundation (Foundation #1),Isaac Asimov,4.13,3026,4.03575999822709
277,The Ocean at the End of the Lane,Neil Gaiman,3.99,4015,3.9234726157378024
278,A Light in the Attic,Shel Silverstein,4.34,3916,4.228286655130704
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",3.75,3230,3.7549865724650493
280,"Delirium (Delirium, #1)",Lauren Oliver,3.99,2549,3.867379208039741
281,The Pelican Brief,John Grisham,3.95,4067,3.820749200644637
282,Coraline,Neil Gaiman,4.03,3132,3.9370213761896453
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",4.25,3532,4.10407174427405
284,On the Road,Jack Kerouac,3.64,3596,3.5970557294438392
285,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.01,3244,3.9424580793668165
286,The Lucky One,Nicholas Sparks,4.1,1834,3.858148585257807
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",3.85,3656,3.709574939632075
288,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,4.01,2689,3.9889947226998705
289,"Watership Down (Watership Down, #1)",Richard Adams,4.05,4753,3.9746207473990203
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.84,2606,3.7769371894838253
291,Cutting for Stone,Abraham Verghese,4.28,3575,4.158227089887622
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",4.08,4080,3.986962203779748
293,Treasure Island,Robert Louis Stevenson,3.82,3959,3.824376331512581
294,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.44,2437,4.185889276682223
295,11/22/63,Stephen King,4.29,3737,4.143862949289774
296,The Very Hungry Caterpillar Board Book,Eric Carle,4.29,3057,4.167894008104833
297,Cat's Cradle,Kurt Vonnegut Jr.,4.18,3532,4.0633273094969775
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,3659,3.803363560957702
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",4.01,1643,3.7731085185926423
300,The Boy in the Striped Pajamas,John Boyne,4.1,2694,3.994429259619184
301,Heart of Darkness,Joseph Conrad,3.42,4377,3.502711259162292
302,Safe Haven,Nicholas Sparks,4.19,1734,3.9201925953205254
303,"The Secret (The Secret, #1)",Rhonda Byrne,3.62,1665,3.4726100167091722
304,I Know This Much Is True,Wally Lamb,4.17,3312,4.010110028391383
305,Pet Sematary,Stephen King,3.91,3748,3.7446213259222465
306,She's Come Undone,Wally Lamb,3.84,3850,3.7525828043143763
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.57,3026,4.325563388379956
308,Can You Keep a Secret?,Sophie Kinsella,3.83,2065,3.7379032078829715
309,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.16,3140,3.9209354166475956
310,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.7,2307,3.6778072665221258
311,The Thorn Birds,Colleen McCullough,4.22,3721,4.0684343501810964
312,The Graveyard Book,"Neil Gaiman, Dave McKean",4.12,3401,4.043310257032416
